".egoID","Grade","Race","Sex"
1,7,"Hisp","F"
2,7,"Hisp","F"
3,11,"NatAm","M"
4,8,"Hisp","M"
5,10,"White","F"
6,10,"Hisp","F"
7,8,"NatAm","M"
8,11,"NatAm","M"
9,9,"White","M"
10,9,"NatAm","F"
11,9,"Hisp","M"
12,11,"Hisp","F"
13,9,"Hisp","M"
14,11,"Hisp","F"
15,8,"NatAm","M"
16,10,"Hisp","F"
17,10,"NatAm","M"
18,7,"Hisp","F"
19,10,"White","M"
20,7,"Hisp","M"
21,12,"Hisp","M"
22,8,"NatAm","M"
23,8,"Hisp","M"
24,9,"NatAm","M"
25,7,"White","F"
26,9,"Hisp","M"
27,9,"Hisp","M"
28,9,"NatAm","F"
29,8,"NatAm","M"
30,11,"NatAm","F"
31,7,"Hisp","M"
32,9,"Hisp","M"
33,12,"Hisp","F"
34,10,"White","F"
35,11,"Hisp","M"
36,8,"Hisp","M"
37,8,"Hisp","M"
38,7,"Hisp","M"
39,7,"NatAm","M"
40,10,"White","F"
41,8,"Hisp","F"
42,9,"Other","M"
43,7,"White","M"
44,12,"Hisp","M"
45,9,"Hisp","F"
46,10,"NatAm","M"
47,10,"NatAm","M"
48,8,"Hisp","F"
49,8,"Hisp","M"
50,8,"Hisp","F"
51,8,"NatAm","M"
52,7,"NatAm","F"
53,11,"NatAm","M"
54,9,"Black","F"
55,8,"NatAm","M"
56,7,"NatAm","F"
57,7,"Hisp","M"
58,12,"Hisp","F"
59,11,"Hisp","F"
60,7,"Hisp","M"
61,11,"NatAm","M"
62,10,"Hisp","F"
63,7,"White","F"
64,8,"NatAm","F"
65,11,"NatAm","M"
66,8,"NatAm","F"
67,9,"Hisp","F"
68,10,"Hisp","F"
69,10,"Hisp","M"
70,7,"NatAm","F"
71,7,"Hisp","M"
72,7,"NatAm","M"
73,7,"Hisp","F"
74,12,"Black","M"
75,10,"NatAm","M"
76,8,"Hisp","M"
77,7,"NatAm","M"
78,7,"NatAm","M"
79,9,"NatAm","M"
80,7,"Hisp","M"
81,11,"Hisp","M"
82,8,"Hisp","F"
83,11,"Hisp","M"
84,7,"Hisp","M"
85,8,"Hisp","F"
86,8,"Hisp","F"
87,7,"White","F"
88,7,"Hisp","M"
89,11,"White","M"
90,7,"NatAm","M"
91,10,"Hisp","M"
92,7,"NatAm","F"
93,9,"Hisp","F"
94,8,"NatAm","F"
95,7,"Hisp","M"
96,7,"NatAm","F"
97,8,"Hisp","M"
98,9,"NatAm","F"
99,9,"NatAm","F"
100,7,"Hisp","F"
101,9,"White","F"
102,12,"NatAm","F"
103,8,"Hisp","M"
104,11,"White","F"
105,8,"NatAm","F"
106,8,"Hisp","M"
107,10,"Hisp","M"
108,9,"Hisp","F"
109,9,"Hisp","M"
110,7,"Hisp","F"
111,9,"Hisp","F"
112,7,"Hisp","F"
113,9,"NatAm","M"
114,7,"NatAm","M"
115,9,"Hisp","F"
116,11,"NatAm","M"
117,7,"NatAm","F"
118,8,"Black","F"
119,7,"White","M"
120,11,"Hisp","M"
121,8,"Hisp","M"
122,9,"NatAm","M"
123,8,"Black","M"
124,11,"Hisp","F"
125,7,"NatAm","M"
126,12,"Hisp","M"
127,7,"Hisp","F"
128,8,"Hisp","M"
129,7,"Hisp","F"
130,7,"Hisp","F"
131,11,"Hisp","M"
132,7,"Hisp","M"
133,7,"Hisp","M"
134,7,"Hisp","F"
135,9,"Hisp","F"
136,11,"NatAm","F"
137,7,"NatAm","F"
138,7,"NatAm","F"
139,8,"NatAm","F"
140,12,"Hisp","F"
141,8,"White","M"
142,9,"Hisp","F"
143,9,"Hisp","M"
144,11,"Hisp","F"
145,8,"Hisp","M"
146,9,"Other","F"
147,7,"Hisp","M"
148,10,"Hisp","M"
149,9,"NatAm","M"
150,7,"Hisp","F"
151,7,"Hisp","F"
152,7,"Hisp","F"
153,9,"NatAm","F"
154,10,"Other","F"
155,7,"NatAm","M"
156,7,"White","F"
157,8,"NatAm","M"
158,7,"Hisp","F"
159,9,"Other","F"
160,11,"Black","F"
161,7,"Hisp","F"
162,8,"NatAm","M"
163,10,"Hisp","M"
164,9,"NatAm","M"
165,9,"Hisp","F"
166,11,"White","M"
167,8,"Hisp","M"
168,11,"NatAm","M"
169,9,"Hisp","M"
170,9,"NatAm","F"
171,8,"NatAm","M"
172,8,"White","M"
173,9,"NatAm","M"
174,7,"Hisp","F"
175,7,"NatAm","F"
176,12,"Hisp","F"
177,12,"NatAm","F"
178,9,"Hisp","F"
179,7,"Hisp","M"
180,7,"NatAm","F"
181,9,"Hisp","M"
182,12,"Hisp","F"
183,7,"Hisp","F"
184,7,"NatAm","M"
185,7,"Hisp","M"
186,10,"Hisp","M"
187,10,"Hisp","M"
188,8,"Hisp","F"
189,8,"NatAm","F"
190,7,"Hisp","F"
191,10,"NatAm","M"
192,9,"Hisp","F"
193,8,"NatAm","F"
194,10,"White","F"
195,7,"Hisp","F"
196,7,"Hisp","F"
197,9,"Hisp","M"
198,7,"Hisp","M"
199,9,"Hisp","F"
200,10,"NatAm","M"
201,12,"NatAm","M"
202,11,"Hisp","F"
203,10,"NatAm","F"
204,10,"Black","M"
205,9,"NatAm","M"
